Latitude,Longitude,Country,Region,Sub_Region
-15.75,-47.95,Brazil,South America,South America
14.91,-23.51,Cabo Verde,Africa,Western Africa
12.65,-8.0,Mali,Africa,Western Africa
9.03,38.74,Ethiopia,Africa,Eastern Africa
34.03,-6.85,Morocco,Africa,Northern Africa
12.65,-8.0,Mali,Africa,Western Africa
12.65,-8.0,Mali,Africa,Western Africa
14.66,-17.41,Senegal,Africa,Western Africa
52.5,-0.12,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
41.26,69.21,Uzbekistan,Asia,Central Asia
41.26,69.21,Uzbekistan,Asia,Central Asia
41.9,12.48,Italy,Europe,Southern Europe
28.61,77.2,India,Asia,Southern Asia
33.66,73.16,Pakistan,Asia,Southern Asia
54.68,25.31,Lithuania,Europe,Northern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
52.5,-0.12,United Kingdom of Great Britain and Northern Ireland,Europe,Northern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
44.41,26.1,Romania,Europe,Eastern Europe
36.7,3.21,Algeria,Africa,Northern Africa
36.7,3.21,Algeria,Africa,Northern Africa
9.03,38.74,Ethiopia,Africa,Eastern Africa
39.91,32.83,Turkey,Asia,Western Asia
39.91,32.83,Turkey,Asia,Western Asia
39.91,32.83,Turkey,Asia,Western Asia
39.91,32.83,Turkey,Asia,Western Asia
39.91,32.83,Turkey,Asia,Western Asia
19.75,96.1,Myanmar [Burma],Asia,South-eastern Asia
19.75,96.1,Myanmar [Burma],Asia,South-eastern Asia
19.75,96.1,Myanmar [Burma],Asia,South-eastern Asia
13.75,100.48,Thailand,Asia,South-eastern Asia
13.75,100.48,Thailand,Asia,South-eastern Asia
13.75,100.48,Thailand,Asia,South-eastern Asia
13.75,100.48,Thailand,Asia,South-eastern Asia
13.75,100.48,Thailand,Asia,South-eastern Asia
39.91,116.38,China,Asia,Eastern Asia
39.91,116.38,China,Asia,Eastern Asia
39.91,116.38,China,Asia,Eastern Asia
23.76,121.0,Taiwan,Asia,Eastern Asia
